id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
12569,67,宏碁股份有限公司,太陽能,59,2022,2023-06-09,"2023-06-09 06:30:58",國泰人壽保險股份有限公司<br/>國泰人壽保險股份有限公司,,1,1,87
12568,67,宏碁股份有限公司,太陽能,39,2022,2023-06-09,"2023-06-09 06:30:57",國泰人壽保險股份有限公司<br/>置地廣場桃園,,1,1,88
12567,67,宏碁股份有限公司,太陽能,233,2022,2023-06-09,"2023-06-09 06:30:55",國泰人壽保險股份有限公司<br/>國泰烏日辦公室,,1,1,89
12570,67,宏碁股份有限公司,太陽能,118,2022,2023-06-09,"2023-06-09 06:31:00",國泰人壽保險股份有限公司<br/>國泰人壽保險股份有限公司,,1,1,90
10228,5739,宏碁股份有限公司,生質能,58,2022,2023-05-09,"2023-05-09 06:30:44",上品王食品股份有限公司<br/>石安牧場沼氣發電廠,,1,1,107
10227,5739,宏碁股份有限公司,生質能,101,2022,2023-05-09,"2023-05-09 06:30:43",上品王食品股份有限公司<br/>石安牧場沼氣發電廠,,1,1,108
11228,4464,宏碁股份有限公司,太陽能,59,2022,2023-05-04,"2023-05-04 10:40:51",裕益汽車股份有限公司<br/>順益一期,,1,1,109
10197,5739,宏碁股份有限公司,生質能,100,2022,2023-04-18,"2023-04-18 06:30:56",上品王食品股份有限公司<br/>石安牧場沼氣發電廠,,1,1,121
10196,5739,宏碁股份有限公司,生質能,200,2022,2023-04-18,"2023-04-18 06:30:55",上品王食品股份有限公司<br/>石安牧場沼氣發電廠,,1,1,122
10130,4464,宏碁股份有限公司,太陽能,298,2022,2023-04-07,"2023-04-07 09:36:10",裕益汽車股份有限公司<br/>順益一期,,1,1,129
7177,2981,宏碁股份有限公司,太陽能,2,2022,2023-02-24,"2023-02-24 06:31:02",臺北市政府消防局<br/>臺北市政府消防局寶橋分隊,,1,1,158
7169,39,宏碁股份有限公司,太陽能,21,2022,2023-02-24,"2023-02-24 06:31:02",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園未來館,,1,1,164
7168,39,宏碁股份有限公司,太陽能,46,2022,2023-02-24,"2023-02-24 06:31:01",臺北市政府產業發展局<br/>臺北市政府產業發展局新生公園夢想館,,1,1,165
