id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
208,36,亞洲水泥股份有限公司,太陽能,7,2018,2018-12-17,"2018-12-17 17:01:17",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,11
142,36,亞洲水泥股份有限公司,太陽能,6,2018,2018-11-19,"2018-11-19 14:56:00",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,18
105,36,亞洲水泥股份有限公司,太陽能,4,2018,2018-10-15,"2018-10-15 16:41:35",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,33
50,36,亞洲水泥股份有限公司,太陽能,5,2018,2018-09-12,"2018-09-12 10:01:40",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,49
40,36,亞洲水泥股份有限公司,太陽能,4,2018,2018-08-13,"2018-08-13 14:38:17",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,63
30,36,亞洲水泥股份有限公司,太陽能,5,2018,2018-07-17,"2018-07-17 08:49:08",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,69
20,36,亞洲水泥股份有限公司,太陽能,24,2018,2018-07-05,"2018-07-05 16:31:07",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,87
15,36,亞洲水泥股份有限公司,太陽能,33,2017,2018-02-12,"2018-03-12 12:00:26",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,90
683,36,亞洲水泥股份有限公司,太陽能,28,2019,2019-11-13,"2019-11-13 19:35:01",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,17
602,36,亞洲水泥股份有限公司,太陽能,12,2019,2019-10-01,"2019-10-01 16:27:56",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,29
588,36,亞洲水泥股份有限公司,太陽能,27,2019,2019-08-30,"2019-08-30 17:55:25",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,40
282,36,亞洲水泥股份有限公司,太陽能,12,2018,2019-02-20,"2019-02-20 14:35:32",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,64
