id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
207,36,遠傳電信股份有限公司,太陽能,7,2018,2018-12-17,"2018-12-17 17:00:50",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,6
143,36,遠傳電信股份有限公司,太陽能,6,2018,2018-11-19,"2018-11-19 14:56:00",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,20
106,36,遠傳電信股份有限公司,太陽能,4,2018,2018-10-15,"2018-10-15 16:42:06",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,35
51,36,遠傳電信股份有限公司,太陽能,5,2018,2018-09-12,"2018-09-12 10:02:07",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,50
41,36,遠傳電信股份有限公司,太陽能,4,2018,2018-08-13,"2018-08-13 14:38:36",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,65
31,36,遠傳電信股份有限公司,太陽能,5,2018,2018-07-17,"2018-07-17 08:49:31",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,76
21,36,遠傳電信股份有限公司,太陽能,24,2018,2018-07-05,"2018-07-05 16:31:34",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,86
17,36,遠傳電信股份有限公司,太陽能,33,2017,2018-02-12,"2018-03-14 19:17:35",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,89
844,36,遠傳電信股份有限公司,太陽能,14,2019,2019-12-25,"2019-12-25 12:04:08",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,2
684,36,遠傳電信股份有限公司,太陽能,47,2019,2019-11-13,"2019-11-13 19:36:59",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,16
603,36,遠傳電信股份有限公司,太陽能,12,2019,2019-10-01,"2019-10-01 16:28:49",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,31
589,36,遠傳電信股份有限公司,太陽能,27,2019,2019-08-30,"2019-08-30 17:55:25",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,38
283,36,遠傳電信股份有限公司,太陽能,12,2018,2019-02-20,"2019-02-20 14:36:25",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,63
