id,seller,buyer,energy,amount,certification_year,created_at,updated_at,case_id,buyer_eid,seller_paied,buyer_paied,DT_RowIndex
22589,36,台灣米高蒲志國際股份有限公司,太陽能,1,2023,2023-12-13,"2023-12-13 10:23:03",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,23
7892,36,國泰世華商業銀行股份有限公司,太陽能,33,2022,2023-03-16,"2023-03-16 06:30:43",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,140
7130,36,國泰世華商業銀行股份有限公司,太陽能,195,2022,2023-02-15,"2023-02-15 15:10:28",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,170
7131,36,國泰世華商業銀行股份有限公司,太陽能,31,2022,2023-02-15,"2023-02-15 15:10:29",財團法人工業技術研究院-六甲院區<br/>財團法人工業技術研究院-六甲院區,,1,1,172
