case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
603,8148,5425,太陽能,9,兆豐產物保險股份有限公司,大同智能股份有限公司<br/>智新能源股份有限公司(彰化縣汙染農地太陽光電系統-振興段973地號),彰化縣汙染農地太陽光電系統-振興段973地號,智新能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5425"" data-year=""2024"" data-case=""603"" data-buyer=""8148""><i class=""icon search""></i>詳情</button>",156
607,8148,5425,太陽能,36,兆豐產物保險股份有限公司,大同智能股份有限公司<br/>智新能源股份有限公司(彰化縣汙染農地太陽光電系統-振興段783、784地號),彰化縣汙染農地太陽光電系統-振興段783、784地號,智新能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5425"" data-year=""2024"" data-case=""607"" data-buyer=""8148""><i class=""icon search""></i>詳情</button>",158
614,8148,5425,太陽能,108,兆豐產物保險股份有限公司,大同智能股份有限公司<br/>同陽能源股份有限公司(臺北大眾捷運股份有限公司-新莊機廠屋頂型太陽光電系統),臺北大眾捷運股份有限公司-新莊機廠屋頂型太陽光電系統,同陽能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""5425"" data-year=""2024"" data-case=""614"" data-buyer=""8148""><i class=""icon search""></i>詳情</button>",160
