case_id,buyer,seller,energy,amount,buyer_name,seller_name,case_name,owner,parallel_type,type,detail,DT_RowIndex
188,182,421,太陽能,26,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(大甲野寶),大甲野寶,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2022"" data-case=""188"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",114
188,182,421,太陽能,139,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(大甲野寶),大甲野寶,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""188"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",409
226,182,421,太陽能,190,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(岡山融嘉泰TW190993),岡山融嘉泰TW190993,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""226"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",422
263,182,421,太陽能,9,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(屏南京沅鎢業),屏南京沅鎢業,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""263"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",426
285,182,421,太陽能,17,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾一能源股份有限公司(一德金屬TW190995),一德金屬TW190995,得禾一能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""285"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",432
286,182,421,太陽能,38,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(新營大昶貿易TW190997),新營大昶貿易TW190997,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2023"" data-case=""286"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",435
188,182,421,太陽能,320,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(大甲野寶),大甲野寶,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""188"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",430
189,182,421,太陽能,3,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(雲林一期),雲林一期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""189"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",433
204,182,421,太陽能,13,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(彰化有鴻),彰化有鴻,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""204"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",438
226,182,421,太陽能,34,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(岡山融嘉泰TW190993),岡山融嘉泰TW190993,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""226"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",444
263,182,421,太陽能,35,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(屏南京沅鎢業),屏南京沅鎢業,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""263"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",449
285,182,421,太陽能,36,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾一能源股份有限公司(一德金屬TW190995),一德金屬TW190995,得禾一能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""285"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",454
286,182,421,太陽能,76,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(新營大昶貿易TW190997),新營大昶貿易TW190997,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""286"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",457
831,182,421,太陽能,135,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(北科附工一期),北科附工一期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""831"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",468
832,182,421,太陽能,195,元大證券股份有限公司,瓦特先生股份有限公司<br/>得禾能源股份有限公司(北科附工二期),北科附工二期,得禾能源股份有限公司,2,轉供,"<button class=""ui mini green button detail"" data-seller=""421"" data-year=""2024"" data-case=""832"" data-buyer=""182""><i class=""icon search""></i>詳情</button>",470
